theta,N,alpha,beta,seq_power,seq_stopping_time,std_power,std_stopping_time,seq_value_early_stop,seq_early_stop_prob,seq_stop_at_N_and_reject,power_diff,power_diff_up
0.0,1000,0.01,0.8,0.012,997.95,0.01,1000.0,0.8178557857912264,0.012,0.0,-0.002,0.19999999999999996
0.0,1000,0.01,0.9,0.012,998.658,0.012,1000.0,0.9140772665161573,0.012,0.0,0.0,0.09999999999999998
0.0,1000,0.01,0.95,0.004,999.89,0.006,1000.0,0.9662078118790641,0.006,0.0,0.002,0.050000000000000044
0.0,1000,0.01,0.99,0.01,999.766,0.012,1000.0,0.9936838182527824,0.008,0.002,0.002,0.010000000000000009
0.0,1000,0.05,0.8,0.046,987.89,0.044,1000.0,0.8153040574569018,0.054,0.004,-0.0020000000000000018,0.19999999999999996
0.0,1000,0.05,0.9,0.058,994.888,0.054,1000.0,0.922017451437738,0.056,0.004,-0.0040000000000000036,0.09999999999999998
0.0,1000,0.05,0.95,0.054,995.268,0.054,1000.0,0.9624255979363235,0.052,0.002,0.0,0.050000000000000044
0.0,1000,0.05,0.99,0.058,996.758,0.066,1000.0,0.992829942601492,0.048,0.01,0.008,0.010000000000000009
0.0,5000,0.01,0.8,0.012,4993.742,0.016,5000.0,0.8119353260094399,0.018,0.0,0.004,0.19999999999999996
0.0,5000,0.01,0.9,0.0,5000.0,0.0,5000.0,,0.0,0.0,0.0,0.09999999999999998
0.0,5000,0.01,0.95,0.012,4994.556,0.012,5000.0,0.9564325563464786,0.012,0.0,0.0,0.050000000000000044
0.0,5000,0.01,0.99,0.012,4998.36,0.018,5000.0,0.9921072239264914,0.014,0.0,0.005999999999999998,0.010000000000000009
0.0,5000,0.05,0.8,0.052,4954.106,0.05,5000.0,0.8155076059557528,0.062,0.0,-0.001999999999999995,0.19999999999999996
0.0,5000,0.05,0.9,0.062,4966.04,0.064,5000.0,0.9100018679904222,0.064,0.002,0.0020000000000000018,0.09999999999999998
0.0,5000,0.05,0.95,0.054,4979.288,0.056,5000.0,0.9572121184077678,0.054,0.002,0.0020000000000000018,0.050000000000000044
0.0,5000,0.05,0.99,0.07,4981.404,0.072,5000.0,0.9912089522945928,0.068,0.002,0.001999999999999988,0.010000000000000009
0.0,10000,0.01,0.8,0.008,9991.158,0.01,10000.0,0.803679856742901,0.01,0.0,0.002,0.19999999999999996
0.0,10000,0.01,0.9,0.004,9993.72,0.006,10000.0,0.9039631439400212,0.006,0.0,0.002,0.09999999999999998
0.0,10000,0.01,0.95,0.01,9996.63,0.012,10000.0,0.9567167524683547,0.012,0.0,0.002,0.050000000000000044
0.0,10000,0.01,0.99,0.006,9996.466,0.006,10000.0,0.9908675956044153,0.006,0.0,0.0,0.010000000000000009
0.0,10000,0.05,0.8,0.046,9930.528,0.052,10000.0,0.8103520649538649,0.062,0.0,0.005999999999999998,0.19999999999999996
0.0,10000,0.05,0.9,0.048,9954.034,0.044,10000.0,0.9070570149165246,0.048,0.0,-0.0040000000000000036,0.09999999999999998
0.0,10000,0.05,0.95,0.032,9965.256,0.034,10000.0,0.9525266851489268,0.038,0.0,0.0020000000000000018,0.050000000000000044
0.0,10000,0.05,0.99,0.05,9981.664,0.05,10000.0,0.9922368442088927,0.048,0.002,0.0,0.010000000000000009
0.0,50000,0.01,0.8,0.014,49949.462,0.012,50000.0,0.80439988296596,0.016,0.0,-0.002,0.19999999999999996
0.0,50000,0.01,0.9,0.006,49950.724,0.006,50000.0,0.9016998104744227,0.008,0.0,0.0,0.09999999999999998
0.0,50000,0.01,0.95,0.002,49997.068,0.002,50000.0,0.9512327334176244,0.002,0.0,0.0,0.050000000000000044
0.0,50000,0.01,0.99,0.006,49988.084,0.008,50000.0,0.990452702443216,0.008,0.0,0.002,0.010000000000000009
0.0,50000,0.05,0.8,0.052,49589.772,0.054,50000.0,0.8038214092973772,0.066,0.0,0.0020000000000000018,0.19999999999999996
0.0,50000,0.05,0.9,0.036,49800.098,0.032,50000.0,0.9023605376831784,0.042,0.0,-0.003999999999999997,0.09999999999999998
0.0,50000,0.05,0.95,0.044,49807.0,0.046,50000.0,0.9538779715444115,0.048,0.0,0.0020000000000000018,0.050000000000000044
0.0,50000,0.05,0.99,0.054,49845.566,0.054,50000.0,0.9902602709870432,0.054,0.0,0.0,0.010000000000000009
0.05,1000,0.01,0.8,0.23,957.606,0.254,1000.0,0.821797387152586,0.262,0.006,0.023999999999999994,0.19999999999999996
0.05,1000,0.01,0.9,0.19,973.892,0.198,1000.0,0.9129757635780964,0.194,0.008,0.008000000000000007,0.09999999999999998
0.05,1000,0.01,0.95,0.208,979.406,0.212,1000.0,0.9586557894837828,0.206,0.004,0.0040000000000000036,0.050000000000000044
0.05,1000,0.01,0.99,0.21,986.22,0.216,1000.0,0.99257943110535,0.2,0.01,0.006000000000000005,0.010000000000000009
0.05,1000,0.05,0.8,0.392,890.54,0.472,1000.0,0.8155006757052204,0.49,0.006,0.07999999999999996,0.19999999999999996
0.05,1000,0.05,0.9,0.462,912.522,0.5,1000.0,0.9103405362073884,0.502,0.008,0.03799999999999998,0.09999999999999998
0.05,1000,0.05,0.95,0.424,936.198,0.458,1000.0,0.9577645398341087,0.452,0.008,0.03400000000000003,0.050000000000000044
0.05,1000,0.05,0.99,0.462,960.796,0.474,1000.0,0.9922071794391383,0.418,0.048,0.011999999999999955,0.010000000000000009
0.05,5000,0.01,0.8,0.712,3752.31,0.87,5000.0,0.8057899733718898,0.876,0.0,0.15800000000000003,0.19999999999999996
0.05,5000,0.01,0.9,0.816,3943.584,0.896,5000.0,0.9040368212156399,0.896,0.002,0.08000000000000007,0.09999999999999998
0.05,5000,0.01,0.95,0.858,4033.558,0.902,5000.0,0.9529712343042575,0.898,0.004,0.04400000000000004,0.050000000000000044
0.05,5000,0.01,0.99,0.874,4294.302,0.898,5000.0,0.9907432074087048,0.886,0.008,0.02400000000000002,0.010000000000000009
0.05,5000,0.05,0.8,0.794,3007.922,0.986,5000.0,0.804095593279155,0.988,0.002,0.19199999999999995,0.19999999999999996
0.05,5000,0.05,0.9,0.884,3360.27,0.966,5000.0,0.902949596867131,0.966,0.0,0.08199999999999996,0.09999999999999998
0.05,5000,0.05,0.95,0.934,3562.932,0.968,5000.0,0.951907997858813,0.972,0.0,0.03399999999999992,0.050000000000000044
0.05,5000,0.05,0.99,0.962,3828.328,0.974,5000.0,0.99052318365766,0.97,0.0,0.01200000000000001,0.010000000000000009
0.05,10000,0.01,0.8,0.794,5713.338,0.998,10000.0,0.8025066545042501,0.998,0.0,0.20399999999999996,0.19999999999999996
0.05,10000,0.01,0.9,0.92,6223.762,0.994,10000.0,0.901805005898073,0.994,0.0,0.07399999999999995,0.09999999999999998
0.05,10000,0.01,0.95,0.962,6589.056,0.998,10000.0,0.9511572130593037,0.998,0.0,0.03600000000000003,0.050000000000000044
0.05,10000,0.01,0.99,0.98,7096.782,0.994,10000.0,0.9903198526737408,0.994,0.0,0.014000000000000012,0.010000000000000009
0.05,10000,0.05,0.8,0.808,4499.96,0.996,10000.0,0.8023333402171772,0.996,0.0,0.18799999999999994,0.19999999999999996
0.05,10000,0.05,0.9,0.9,5079.45,1.0,10000.0,0.9015926426014035,1.0,0.0,0.09999999999999998,0.09999999999999998
0.05,10000,0.05,0.95,0.95,5618.828,0.998,10000.0,0.9509427894601605,0.998,0.0,0.04800000000000004,0.050000000000000044
0.05,10000,0.05,0.99,0.988,6149.348,1.0,10000.0,0.990259557209967,1.0,0.0,0.01200000000000001,0.010000000000000009
0.05,50000,0.01,0.8,0.802,13758.596,1.0,50000.0,0.8009298848439023,1.0,0.0,0.19799999999999995,0.19999999999999996
0.05,50000,0.01,0.9,0.892,15131.422,1.0,50000.0,0.9005335132936289,1.0,0.0,0.10799999999999998,0.09999999999999998
0.05,50000,0.01,0.95,0.946,16309.258,1.0,50000.0,0.9503288018611954,1.0,0.0,0.05400000000000005,0.050000000000000044
0.05,50000,0.01,0.99,0.99,18694.582,1.0,50000.0,0.9900898218577939,1.0,0.0,0.010000000000000009,0.010000000000000009
