theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.0,1000,0.01,0.8,0.029601430594675023,0.9665148594309019,997.95,21.95247873578953,0.99795,0.021952478735789496,inf,inf,,0.012,500
0.0,1000,0.01,0.9,-0.04598496205308455,1.0116384783876986,998.658,16.423901030209002,0.998658,0.016423901030208986,inf,inf,,0.012,500
0.0,1000,0.01,0.95,-0.08327040211726554,0.968994456762028,999.89,1.9599957056924142,0.99989,0.0019599957056924094,inf,inf,,0.006,500
0.0,1000,0.01,0.99,0.01667419082824711,0.9632885412945176,999.766,3.2882928305549353,0.9997659999999999,0.0032882928305549364,inf,inf,,0.008,500
0.0,1000,0.05,0.8,-0.08751735975026381,0.9257534754311405,987.89,65.50615247458859,0.9878899999999999,0.06550615247458856,inf,inf,,0.054,500
0.0,1000,0.05,0.9,-0.04469533385781251,0.8926847380616889,994.888,32.631412383595915,0.994888,0.032631412383595924,inf,inf,,0.056,500
0.0,1000,0.05,0.95,-0.03737790243152242,0.8889354585615329,995.268,29.216148662774994,0.995268,0.029216148662775027,inf,inf,,0.052,500
0.0,1000,0.05,0.99,-0.001140160619344501,0.9207979140222908,996.758,21.242172577012536,0.996758,0.0212421725770125,inf,inf,,0.048,500
0.0,5000,0.01,0.8,0.007143189404410881,0.9755437829543596,4993.742,62.84474807588506,0.9987484,0.012568949615176987,inf,inf,,0.018,500
0.0,5000,0.01,0.9,-0.032268796386520006,0.9551318069830679,5000.0,0.0,1.0,0.0,inf,inf,,0.0,500
0.0,5000,0.01,0.95,0.07492859337371507,0.9637232086160183,4994.556,63.62609073992914,0.9989112,0.012725218147985834,inf,inf,,0.012,500
0.0,5000,0.01,0.99,-0.001563099438782424,0.9915466378869879,4998.36,19.976398900353654,0.999672,0.003995279780070734,inf,inf,,0.014,500
0.0,5000,0.05,0.8,-0.051522961668507415,0.9161495016938478,4954.106,222.74317904623527,0.9908212,0.04454863580924707,inf,inf,,0.062,500
0.0,5000,0.05,0.9,0.02997447284376051,0.8771755669206562,4966.04,190.44372403428804,0.993208,0.03808874480685765,inf,inf,,0.064,500
0.0,5000,0.05,0.95,-0.05600051615007818,0.94931041390409,4979.288,140.83313886299652,0.9958576,0.02816662777259925,inf,inf,,0.054,500
0.0,5000,0.05,0.99,0.04725554722122319,0.908074121010071,4981.404,96.03659113939514,0.9962808,0.01920731822787902,inf,inf,,0.068,500
0.0,10000,0.01,0.8,0.03161310334429345,0.944556333859429,9991.158,111.56489810409859,0.9991158,0.011156489810409889,inf,inf,,0.01,500
0.0,10000,0.01,0.9,0.03014129673001908,0.9927050195046205,9993.72,129.72688128315963,0.9993719999999999,0.012972688128315934,inf,inf,,0.006,500
