theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,1000,0.01,0.25,0.1,0.03215313518918822,0.11493959019398324,0.35998643690893123,0.3850323352033208,0.08727272727272728,0.10840856882632016,520.6557575757575,620.6557575757575,0.6206557575757575,0.5381818181818182,330,3300
0.05,1000,0.01,0.25,0.25,0.01238257824028742,0.05769241550995888,0.14944887289853753,0.26475108555692645,0.043750000000000004,0.07221970835242834,259.855078125,509.855078125,0.509855078125,0.72890625,256,2560
0.05,1000,0.01,0.25,0.5,0.006449057590481695,0.024764537032740164,0.07636320770002884,0.15619687195513768,0.02203389830508475,0.047914922033400746,118.28305084745762,618.2830508474576,0.6182830508474577,0.8028248587570621,177,1770
0.05,1000,0.01,0.25,0.75,-1.676005117301942e-05,0.017527767080564992,0.11633793824957372,0.18745584412519833,0.024786324786324785,0.058583837517466486,91.11452991452991,841.1145299145298,0.84111452991453,0.6803418803418803,117,1170
0.05,1000,0.01,0.25,0.9,-0.0023738212062693075,0.013935991191095034,0.15857218509170135,0.23054167230340764,0.009302325581395349,0.03638974314683672,45.11976744186047,945.1197674418605,0.9451197674418604,0.5790697674418605,86,860
0.05,1000,0.01,0.5,0.1,0.056500917710424786,0.10132256809614526,0.21169657258479585,0.39465448173364187,0.0544,0.10403020988702408,248.904,348.904,0.348904,0.7876000000000001,500,5000
0.05,1000,0.01,0.5,0.25,0.047301934727313734,0.06448568296175405,0.06244774117989559,0.22422919274814437,0.0176,0.04706027346581567,102.04060000000001,352.0406,0.3520406,0.8994,500,5000
0.05,1000,0.01,0.5,0.5,0.04749327088234306,0.045280366569941305,0.007540430136448189,0.046563636003469445,0.0128,0.034036406301309434,32.9514,532.9514,0.5329514000000002,0.9508,500,5000
0.05,1000,0.01,0.5,0.75,0.03988963030297045,0.028957614815004164,0.00760842725791393,0.03263567717297085,0.008735632183908047,0.02907184005363318,17.366436781609195,767.3664367816092,0.7673664367816093,0.9439080459770115,435,4350
0.05,1000,0.01,0.5,0.9,0.020137473670975087,0.019304336840600598,0.019680680605895704,0.06582664275863107,0.010050251256281407,0.03177409985591603,13.817587939698491,913.8175879396986,0.9138175879396986,0.8889447236180905,199,1990
0.05,1000,0.01,0.75,0.1,0.046476651787510016,0.09466865335348777,0.33060006804929976,0.4038533209946356,0.07707910750507099,0.10755027104779362,498.5657200811359,598.565720081136,0.5985657200811358,0.5679513184584178,493,4930
0.05,1000,0.01,0.75,0.25,0.04748412658693755,0.06816765840945416,0.2296880679030701,0.3206767669133877,0.062200000000000005,0.0970050512082739,409.21840000000003,659.2184,0.6592184,0.5912000000000001,500,5000
0.05,1000,0.01,0.75,0.5,0.050046399492099894,0.04649168254206241,0.042675806868344004,0.057670959330849494,0.021200000000000004,0.047276104536226764,234.2142,734.2142,0.7342142,0.6564,500,5000
0.05,1000,0.01,0.75,0.75,0.048012181589141716,0.03517503577052313,0.005642205098562361,0.0031693509346394223,0.012,0.034327200780530524,6.5552,756.5551999999999,0.7565552000000001,0.9823999999999999,500,5000
0.05,1000,0.01,0.75,0.9,0.05118939976210392,0.03411788688053264,0.0025761601528690174,0.008375301087115511,0.0102,0.03283468033139548,4.530600000000001,904.5305999999999,0.9045306000000001,0.9703999999999999,500,5000
0.05,1000,0.05,0.25,0.1,0.034638908004253996,0.11279477046743658,0.40820503738794656,0.38722262194864154,0.21687344913151366,0.19435606490392726,476.3749379652606,576.3749379652605,0.5763749379652605,0.6863523573200994,403,4030
0.05,1000,0.05,0.25,0.25,0.02512387401789022,0.06748991032422375,0.2364503746456605,0.330081297156498,0.14932432432432433,0.1555729145619655,264.7462837837838,514.7462837837837,0.5147462837837838,0.7861486486486486,296,2960
0.05,1000,0.05,0.25,0.5,0.009135376092784454,0.02901458648056192,0.10951573167261937,0.187576849654135,0.08539823008849558,0.10958130739403879,113.32787610619468,613.3278761061947,0.6133278761061948,0.8535398230088496,226,2260
0.05,1000,0.05,0.25,0.75,0.00813065357428724,0.015952952510580647,0.08887851178516802,0.16962850856138384,0.06460176991150443,0.07782805450650822,52.4,802.4,0.8024000000000001,0.8460176991150442,113,1130
0.05,1000,0.05,0.25,0.9,-0.0013118201858800783,0.013001554901119431,0.20931200839764932,0.2674664310749886,0.07011494252873564,0.08506487610181765,40.04252873563218,940.0425287356321,0.9400425287356321,0.6574712643678161,87,870
0.05,1000,0.05,0.5,0.1,0.047871658952143646,0.10107975415072971,0.3031371076392068,0.41410196605766364,0.16319999999999998,0.19617014413743444,272.8138,372.8138,0.37281380000000003,0.823,500,5000
0.05,1000,0.05,0.5,0.25,0.04521989237616212,0.06508508695996991,0.14525776948171204,0.30325484628528576,0.08960000000000001,0.12329738232816602,128.07139999999998,378.07140000000004,0.3780714,0.8906000000000001,500,5000
0.05,1000,0.05,0.5,0.5,0.05315246176350199,0.04394214982997479,0.021656537376409955,0.07007612273102926,0.05380000000000001,0.07359614654023092,24.963,524.963,0.5249630000000001,0.9708,500,5000
0.05,1000,0.05,0.5,0.75,0.045225237936469216,0.03026615316588133,0.014630129443014481,0.04455409124045037,0.05592841163310962,0.0742947364764102,12.494183445190156,762.4941834451902,0.7624941834451903,0.9675615212527964,447,4470
0.05,1000,0.05,0.5,0.9,0.024442145215407843,0.020656427034966143,0.030740714045758278,0.09098196235061247,0.05471698113207547,0.07529245438834897,9.378867924528302,909.3788679245283,0.9093788679245283,0.9343396226415094,265,2650
0.05,1000,0.05,0.75,0.1,0.04328578173465415,0.0971086745172886,0.4333147778975833,0.419619156361273,0.22808080808080808,0.21064618515222092,463.7840404040404,563.7840404040404,0.5637840404040404,0.7,495,4950
0.05,1000,0.05,0.75,0.25,0.051962188021606404,0.06379454543523194,0.38922336979535965,0.3616405126479249,0.1938,0.1783400413274634,415.19759999999997,665.1976,0.6651975999999999,0.6652,500,5000
0.05,1000,0.05,0.75,0.5,0.04871272618790923,0.04434793342689718,0.18386627922828758,0.19299714737382495,0.1102,0.11144865007350431,226.48,726.48,0.72648,0.7163999999999999,500,5000
